 구분 , 인원(명), 총급여(억 원) , 근로소득금액(억 원) , 소득공제액(억 원) , 과세표준(억 원) , 결정세액(억 원)
 상위 0.1% 내 ,19959,190838,184593,14465,176373,66865
 상위 0.2% 내 ,19959,78797,74762,9123,69674,22036
 상위 0.3% 내 ,19959,61966,58242,8293,53673,15904
 상위 0.4% 내 ,19959,53509,49949,7876,45633,12899
 상위 0.5% 내 ,19959,48178,44709,7608,40570,11029
 상위 0.6% 내 ,19959,44434,41036,7473,36961,9681
 상위 0.7% 내 ,19960,41654,38303,7368,34285,8691
 상위 0.8% 내 ,19959,39573,36262,7295,32279,7940
 상위 0.9% 내 ,19959,37881,34596,7214,30667,7351
 상위 1.0% 내 ,19959,36465,33207,7105,29361,6874
 상위2%내 ,199591,315994,284291,69000,246994,52655
 상위3%내 ,199592,263953,233236,65972,197981,35840
 상위4%내 ,199591,235400,205249,64417,170983,27336
 상위5%내 ,199592,216119,186351,63067,153052,22834
 상위6%내 ,199591,201386,171937,62025,139361,19686
 상위7%내 ,199592,190086,161123,60654,129433,17406
 상위8%내 ,199591,181046,152535,60941,120105,15221
 상위9%내 ,199592,173179,145061,60295,112884,13554
 상위10%내 ,199591,166217,138447,59572,106645,12169
 상위11%내 ,199592,159825,132375,59103,100722,10893
 상위12%내 ,199591,153945,126788,58273,95672,9895
 상위13%내 ,199592,148535,121649,57363,91172,9072
 상위14%내 ,199591,143471,116838,56205,87266,8442
 상위15%내 ,199592,138717,112321,56050,82666,7439
 상위16%내 ,199591,134153,107986,55566,78588,6770
 상위17%내 ,199592,129825,103874,54441,75384,6348
 상위18%내 ,199591,125702,99957,53578,72124,5910
 상위19%내 ,199592,121800,96251,52654,69146,5523
 상위20%내 ,199591,118395,93015,51218,67176,5294
 상위21%내 ,199592,114999,89789,51020,63978,4833
 상위22%내 ,199591,111783,86734,50204,61579,4513
 상위23%내 ,199592,108729,83833,49382,59347,4180
 상위24%내 ,199591,105861,81109,48765,57096,3876
 상위25%내 ,199592,103071,78458,48105,54966,3603
 상위26%내 ,199591,100400,75920,47389,53011,3355
 상위27%내 ,199591,97855,73502,46703,51152,3123
 상위28%내 ,199592,95509,71274,45865,49643,2941
 상위29%내 ,199591,93227,69106,45382,47845,2706
 상위30%내 ,199592,90987,66978,44852,46134,2484
 상위31%내 ,199591,88845,65041,44091,44754,2321
 상위32%내 ,199592,86791,63295,43402,43389,2144
 상위33%내 ,199591,84779,61584,42323,42456,2043
 상위34%내 ,199592,82984,60058,42069,40915,1829
 상위35%내 ,199591,81151,58500,41275,39876,1702
 상위36%내 ,199592,79395,57007,40611,38783,1566
 상위37%내 ,199591,77689,55557,39935,37754,1440
 상위38%내 ,199592,76060,54173,39363,36698,1319
 상위39%내 ,199591,74424,52782,38723,35701,1203
 상위40%내 ,199592,72844,51439,38107,34737,1096
 상위41%내 ,199591,71548,50337,37552,33995,1047
 상위42%내 ,199592,70116,49120,36778,33338,964
 상위43%내 ,199591,68782,47986,36821,31961,824
 상위44%내 ,199592,67380,46794,36005,31375,781
 상위45%내 ,199591,66057,45670,35450,30607,712
 상위46%내 ,199592,64781,44585,35035,29746,658
 상위47%내 ,199591,63546,43536,34443,29103,608
 상위48%내 ,199592,62291,42469,33977,28314,563
 상위49%내 ,199591,61065,41427,33497,27569,514
 상위50%내 ,199592,59954,40482,33115,26839,492
 상위51%내 ,199591,58904,39590,32694,26209,446
 상위52%내 ,199591,57747,38606,32199,25548,418
 상위53%내 ,199592,56681,37700,31745,24936,383
 상위54%내 ,199591,55541,36731,31290,24251,359
 상위55%내 ,199592,54488,35836,30901,23587,332
 상위56%내 ,199591,53406,34916,30519,22887,312
 상위57%내 ,199592,52434,34090,30209,22225,295
 상위58%내 ,199591,51454,33257,29731,21723,279
 상위59%내 ,199592,50497,32444,29342,21154,268
 상위60%내 ,199591,49647,31721,28976,20671,252
 상위61%내 ,199592,48696,30913,28647,20049,236
 상위62%내 ,199591,47952,30280,28153,19798,234
 상위63%내 ,199592,47424,29832,28411,19013,213
 상위64%내 ,199591,46473,29024,27715,18758,203
 상위65%내 ,199592,45631,28308,27480,18151,193
 상위66%내 ,199591,44907,27692,27075,17832,184
 상위67%내 ,199592,44154,27053,26393,17761,191
 상위68%내 ,199591,43691,26659,27433,16259,155
 상위69%내 ,199592,43059,26122,26259,16800,171
 상위70%내 ,199591,41884,25123,25704,16180,159
 상위71%내 ,199592,40537,23978,25220,15317,143
 상위72%내 ,199591,39155,22803,24817,14338,125
 상위73%내 ,199592,37772,21628,24293,13479,110
 상위74%내 ,199591,36342,20413,23711,12632,93
 상위75%내 ,199592,35131,19383,23565,11566,79
 상위76%내 ,199591,33598,18080,22849,10750,62
 상위77%내 ,199591,32166,16863,22320,9846,46
 상위78%내 ,199592,30659,15581,21767,8891,28
 상위79%내 ,199591,29181,14514,21207,7973,13
 상위80%내 ,199592,27836,13707,20223,7613,5
 상위81%내 ,199591,26319,12798,19177,7142,1
 상위82%내 ,199592,24806,11890,18392,6415,0
 상위83%내 ,199591,23661,11203,17618,6043,0
 상위84%내 ,199592,22201,10327,16794,5408,0
 상위85%내 ,199591,20774,9471,16157,4617,0
 상위86%내 ,199592,19254,8559,15272,3982,0
 상위87%내 ,199591,17789,7680,14449,3340,0
