모기지수 발생일,모기지수(수변부),모기지수(주거지),모기지수(공원),평균기온(°C),최저기온(°C),최고기온(°C),평균상대습도
2023-09-14,100,42.1,45.3,23.4,19.2,27.2,72.4
2023-09-13,100,42.8,46.4,22.1,19.6,24.6,84.5
2023-09-12,100,41.6,45.3,25.7,21.7,29.8,69.8
2023-09-11,100,42.1,47.3,25.5,23.1,29.8,67.3
2023-09-10,100,43.9,48.5,25.7,22,29.6,68.1
2023-09-09,100,44.5,48.2,25.8,20.8,31.2,66.3
2023-09-08,100,41.4,48.2,25.3,19.6,30.5,60.3
2023-09-07,100,39.1,46.7,26.3,20.9,31.6,54.8
2023-09-06,100,36,45.6,27.9,24,32.1,65.1
2023-09-05,100,36.6,45,28.5,25,32.8,69.5
2023-09-04,100,39.7,46.1,27,24.3,30.2,79.9
2023-09-03,100,37.7,46.1,25.8,23.1,28.8,77.8
2023-09-02,100,34.8,45.6,25.4,19.7,30.8,63.9
2023-09-01,100,29,41.1,24.5,19.7,29.6,70.6
2023-08-31,100,29.4,37.2,23.9,21,28.9,76.9
2023-08-30,100,32.5,34.7,22.8,21.5,24.5,88
2023-08-29,100,32,45.5,23.9,22.5,25.5,89.6
2023-08-28,100,31.1,56.8,22.7,20.8,25.6,87.5
2023-08-27,100,35.6,62.3,26.1,22.7,29.6,75
2023-08-26,100,38.9,56.5,26.4,23.3,30.3,72.3
2023-08-25,100,32.6,39.1,26.5,24,30,77.9
2023-08-24,100,36.7,61.1,25.1,22.3,27.8,84.8
2023-08-23,100,36,59.2,24.8,23.2,27.2,91.3
2023-08-22,100,35.1,49.8,27.6,25.8,32.2,80.3
2023-08-21,100,34.1,55.4,29.5,26,33.6,69.8
2023-08-20,100,34.8,55.2,28.3,25.5,31.8,71.8
2023-08-19,100,36.6,53.9,29.1,26.4,33.6,68.9
2023-08-18,100,39.8,54.3,29.1,25.5,33.3,72.1
2023-08-17,100,38.1,59.2,28.2,24.5,32.4,73
2023-08-16,100,40.7,58,27.3,24.7,31.6,72
2023-08-15,100,38.4,54.3,28.6,24.7,32.7,71.4
2023-08-14,100,36.8,39.3,28.1,24.8,31.9,75.4
2023-08-13,93.4,34.1,40.8,27,22.6,31.1,76.9
2023-08-12,100,40,47,23.3,22.5,24.1,91
2023-08-11,100,49.7,59.4,23.5,21.6,24.9,93.1
2023-08-10,100,41.8,51.8,22.2,20.9,25.1,91.9
2023-08-09,100,46.9,56.8,28.3,25.1,31.6,67.6
2023-08-08,100,42.8,71.4,30.9,26.4,35.8,60.5
2023-08-07,92.3,36.1,57.9,30.4,27.3,34.6,68.4
2023-08-06,100,38.7,53.9,29.8,27,33,76.5
2023-08-05,93.6,38,54,30.3,26.4,34.9,69
2023-08-04,100,39.7,57.7,30,26.5,34.4,67.6
2023-08-03,100,41.4,52.8,29.5,25.8,33.8,67
2023-08-02,100,40.5,57.8,29.7,26.8,33.7,67.8
2023-08-01,100,48,62.3,29.9,25.5,34.2,71.6
2023-07-31,100,52.2,68.2,28.7,25.6,33.4,76.3
2023-07-30,100,50.1,56.2,28.8,24.9,34.9,72.5
2023-07-29,100,55,56.7,29.1,26.1,33.3,72.1
2023-07-28,100,57.7,51.1,29.5,25.4,34.1,72.4
2023-07-27,100,55.7,55.6,28.4,24.4,32.2,78.1
2023-07-26,100,58.5,53.5,27.6,24.9,31.1,80.9
2023-07-25,100,56,58.1,27.8,25.8,30.5,80.5
2023-07-24,100,64,79,26.9,24.6,30,83.1
2023-07-23,100,50.4,58.2,25.2,24.5,25.8,94.3
2023-07-22,100,47.8,52.1,27.7,24.6,32.5,73.9
2023-07-21,100,41.7,38.5,29.5,24.6,34.3,69.6
2023-07-20,100,50.2,53.8,27.9,24,32.8,74
2023-07-19,100,57,48,27.2,22.5,32.4,78.8
2023-07-18,100,57.2,63.5,25.2,24.1,27.7,87.9
2023-07-17,100,54.9,69.5,25.5,23.7,27.8,86.1
2023-07-16,100,52.2,55.5,24.6,23.7,25.4,89.5
2023-07-15,100,64.3,56.4,24.5,23.7,25.7,93.5
2023-07-14,100,57,47.7,24.6,23.9,25.1,99.1
2023-07-13,100,53.2,68.9,25.2,24.7,26.5,95
2023-07-12,100,58.8,62.5,25.8,22,29.1,86.4
2023-07-11,100,47.4,55.6,23.5,21.6,25.9,92.4
2023-07-10,100,45.2,64.1,26.3,22.9,30.9,80.4
2023-07-09,100,58.8,66.3,24.7,21.6,27,86.4
2023-07-08,100,49.8,51,25.6,22.4,29.7,76.5
2023-07-07,100,57,58.7,26.7,23.3,31.4,64.9
2023-07-06,100,64.4,80.3,27.3,22.4,31.8,70.9
2023-07-05,100,59,66.2,24.5,22.1,27.1,82.6
2023-07-04,100,50.6,46.4,26.1,24.5,29.2,86.8
2023-07-03,100,50.7,29.6,29.1,24.1,34.9,72
2023-07-02,100,62.4,57.5,26.7,23.5,30.6,79.5
2023-07-01,100,53.5,74.3,27.7,23.3,32.9,76.9
2023-06-30,100,61.5,83.5,25.3,23.2,29.1,89.8
